test_type,timestamp,latency_ms,payload_size,success
websocket,7579.378946626,1.2240,39,True
websocket,7579.39924628,1.2505,39,True
websocket,7579.420229362,1.1999,39,True
websocket,7579.441539705,1.5149,39,True
websocket,7579.462536505,1.5469,39,True
websocket,7579.483287692,1.3464,39,True
websocket,7579.504597535,1.7119,39,True
websocket,7579.525301643,1.4149,39,True
websocket,7579.546187954,1.2751,39,True
websocket,7579.567172221,1.3311,39,True
websocket,7579.588435543,1.6189,39,True
websocket,7579.60904956,1.2468,39,True
websocket,7579.629982407,1.1968,39,True
websocket,7579.650228072,1.1853,39,True
websocket,7579.671219341,1.1981,39,True
websocket,7581.217311017,5.6355,39,True
websocket,7581.234231123,1.3243,39,True
websocket,7581.255162335,1.3307,39,True
websocket,7581.276375876,1.5440,39,True
websocket,7581.297237342,1.4029,39,True
websocket,7581.318138506,1.3726,39,True
websocket,7581.339084024,1.3437,39,True
websocket,7581.360389799,1.6576,39,True
websocket,7581.381340637,1.6267,39,True
websocket,7581.402347647,1.6382,39,True
websocket,7581.423108359,1.4064,39,True
websocket,7581.443459867,1.2452,39,True
websocket,7581.464415253,1.2736,39,True
websocket,7581.485374621,1.2368,39,True
websocket,7581.506391296,1.2637,39,True
websocket,7581.527347665,1.2196,39,True
websocket,7581.548616624,1.4840,39,True
websocket,7581.569404763,1.3140,39,True
websocket,7581.590513213,1.4092,39,True
websocket,7581.611816012,1.7796,39,True
websocket,7581.632350319,1.3195,39,True
websocket,7581.653531606,1.4935,39,True
websocket,7581.673625962,1.2628,39,True
websocket,7581.694409891,1.5302,39,True
websocket,7581.715070907,1.2107,39,True
websocket,7581.736104854,1.2745,39,True
websocket,7581.757064969,1.2385,39,True
websocket,7581.778056058,1.2997,39,True
websocket,7581.799123863,1.4295,39,True
websocket,7581.82042879,1.7076,39,True
websocket,7581.841088942,1.3770,39,True
websocket,7581.862068701,1.4068,39,True
websocket,7581.882993759,1.3393,39,True
websocket,7581.903621473,1.5763,39,True
websocket,7581.924257424,1.4743,39,True
websocket,7581.945574988,1.7809,39,True
websocket,7581.966229215,1.4626,39,True
websocket,7581.987150464,1.4265,39,True
websocket,7582.008116548,1.4140,39,True
websocket,7582.029017904,1.3937,39,True
websocket,7582.050893924,2.3521,39,True
websocket,7582.07089301,1.3652,39,True
websocket,7582.091969351,1.4502,39,True
websocket,7582.112839746,1.3306,39,True
websocket,7582.134680362,2.1734,39,True
websocket,7582.155036143,1.4266,39,True
websocket,7582.175858754,1.2851,39,True
websocket,7582.196522345,1.3903,39,True
websocket,7582.21735622,1.2359,39,True
websocket,7582.238381322,1.3337,39,True
websocket,7582.259265969,1.2332,39,True
websocket,7582.280402819,1.9107,39,True
websocket,7582.301342847,1.8535,39,True
websocket,7582.32178925,1.3068,39,True
websocket,7582.343008139,1.4357,39,True
websocket,7582.363394853,1.3601,39,True
websocket,7582.384554958,1.5303,39,True
websocket,7582.405279548,1.2534,39,True
websocket,7582.426260366,1.2448,39,True
websocket,7582.446970605,1.2725,39,True
websocket,7582.468372282,1.5814,39,True
websocket,7582.489006579,1.2820,39,True
websocket,7582.509999328,1.8799,39,True
websocket,7582.529999723,1.2870,39,True
websocket,7582.550944023,1.2659,39,True
websocket,7582.57204384,1.3705,39,True
websocket,7582.593062726,1.4048,39,True
websocket,7582.613348303,1.2774,39,True
websocket,7582.633720487,1.3066,39,True
websocket,7582.655160272,1.8146,39,True
websocket,7582.675838792,1.5554,39,True
websocket,7582.696127233,1.5111,39,True
websocket,7582.716987034,1.3950,39,True
websocket,7582.737856226,1.5452,39,True
websocket,7582.758705839,1.4098,39,True
websocket,7582.779178104,1.3739,39,True
websocket,7582.80013829,1.2964,39,True
websocket,7582.821188442,1.2991,39,True
websocket,7582.842273362,1.4166,39,True
websocket,7582.86306075,1.2715,39,True
websocket,7582.883364327,1.2629,39,True
websocket,7582.904421872,1.4104,39,True
websocket,7582.925249266,1.2633,39,True
websocket,7582.946554083,1.5567,39,True
websocket,7582.967814366,1.8357,39,True
websocket,7582.989064396,2.0843,39,True
websocket,7583.009349477,1.4071,39,True
websocket,7583.030382275,1.3267,39,True
websocket,7583.051422875,1.2652,39,True
websocket,7583.071928123,1.5010,39,True
websocket,7583.092760136,1.4057,39,True
websocket,7583.113381461,1.3422,39,True
websocket,7583.134303702,1.2922,39,True
websocket,7583.155375308,1.4045,39,True
websocket,7583.176385422,1.6045,39,True
websocket,7583.197356475,1.6019,39,True
websocket,7583.218138547,1.3934,39,True
websocket,7583.238259612,1.2356,39,True
websocket,7583.258837784,1.5805,39,True
websocket,7583.279741977,1.6424,39,True
rest_get,7583.55381377,5.2438,607,True
rest_get,7583.566214895,1.8549,607,True
rest_get,7583.578675244,1.8755,607,True
rest_get,7583.591323613,2.0280,607,True
rest_get,7583.603863397,1.9664,607,True
rest_get,7583.616472548,2.0524,607,True
rest_get,7583.629428762,2.3648,607,True
rest_get,7583.642135271,2.1437,607,True
rest_get,7583.654667438,1.9737,607,True
rest_get,7583.667172142,1.9268,607,True
rest_get,7583.679948513,2.2112,607,True
rest_get,7583.693002291,2.4615,607,True
rest_get,7583.705963911,2.4321,607,True
rest_get,7583.718589174,2.1283,607,True
rest_get,7583.731291834,2.1591,607,True
rest_get,7583.743720936,2.0389,607,True
rest_get,7583.75638081,2.1734,607,True
rest_get,7583.768919681,1.9497,607,True
rest_get,7583.781300006,1.8446,607,True
rest_get,7583.79378174,1.9826,607,True
rest_get,7583.80678389,2.5107,607,True
rest_get,7583.819478489,2.1133,607,True
rest_get,7583.832001597,1.8491,607,True
rest_get,7583.844762466,2.0739,607,True
rest_get,7583.857421715,1.9590,607,True
rest_get,7583.869929069,1.9059,607,True
rest_get,7583.882298474,1.8805,607,True
rest_get,7583.894962052,2.0784,607,True
rest_get,7583.907568088,2.1192,607,True
rest_get,7583.920198535,2.0953,607,True
rest_get,7583.932754723,2.0491,607,True
rest_get,7583.945316398,2.2374,607,True
rest_get,7583.957780006,2.2372,607,True
rest_get,7583.970151033,1.9907,607,True
rest_get,7583.982314405,1.9839,607,True
rest_get,7583.994386213,1.9315,607,True
rest_get,7584.006468596,1.9637,607,True
rest_get,7584.018524122,1.8680,607,True
rest_get,7584.030735214,2.0098,607,True
rest_get,7584.042853929,1.9268,607,True
rest_get,7584.05489665,1.8438,607,True
rest_get,7584.067159739,2.0404,607,True
rest_get,7584.079391737,1.9347,607,True
rest_get,7584.091564262,1.7646,607,True
rest_get,7584.103638889,1.8652,607,True
rest_get,7584.115895785,2.0474,607,True
rest_get,7584.128237689,2.1105,607,True
rest_get,7584.140755796,1.9345,607,True
rest_get,7584.153281541,1.9842,607,True
rest_get,7584.165875252,2.1084,607,True
rest_get,7584.178326153,1.9653,607,True
rest_get,7584.190742278,1.8731,607,True
rest_get,7584.203233916,2.0047,607,True
rest_get,7584.215865257,2.0824,607,True
rest_get,7584.228251314,1.8624,607,True
rest_get,7584.240710738,1.9200,607,True
rest_get,7584.253193104,1.9758,607,True
rest_get,7584.266649119,2.8611,607,True
rest_get,7584.2792392,1.9418,607,True
rest_get,7584.291636141,1.8181,607,True
rest_get,7584.304079326,1.9427,607,True
rest_get,7584.316673046,2.0549,607,True
rest_get,7584.329113898,1.8925,607,True
rest_get,7584.34160936,1.9096,607,True
rest_get,7584.354137202,2.0196,607,True
rest_get,7584.366957119,2.2328,607,True
rest_get,7584.379380815,1.8784,607,True
rest_get,7584.391847603,1.8954,607,True
rest_get,7584.404345956,1.9983,607,True
rest_get,7584.416855963,1.9384,607,True
rest_get,7584.429606339,2.2149,607,True
rest_get,7584.442130566,1.9085,607,True
rest_get,7584.454581416,1.9585,607,True
rest_get,7584.467118581,1.9659,607,True
rest_get,7584.479379867,1.9882,607,True
rest_get,7584.491563531,1.8853,607,True
rest_get,7584.503828659,2.0380,607,True
rest_get,7584.516151845,1.9417,607,True
rest_get,7584.528541588,2.0935,607,True
rest_get,7584.54085642,2.0729,607,True
rest_get,7584.553280208,2.0826,607,True
rest_get,7584.565496654,1.8788,607,True
rest_get,7584.577721528,1.9148,607,True
rest_get,7584.590063842,2.1070,607,True
rest_get,7584.602084668,1.7834,607,True
rest_get,7584.614199535,1.8437,607,True
rest_get,7584.626419684,1.9797,607,True
rest_get,7584.638549978,1.7849,607,True
rest_get,7584.650905335,2.0566,607,True
rest_get,7584.66316535,2.0156,607,True
rest_get,7584.67552972,2.0781,607,True
rest_get,7584.687906148,1.8906,607,True
rest_get,7584.700118249,1.9583,607,True
rest_get,7584.712331248,1.9751,607,True
rest_get,7584.724632233,2.0066,607,True
rest_get,7584.737070418,1.8838,607,True
rest_get,7584.749541293,1.9744,607,True
rest_get,7584.762275596,2.1416,607,True
rest_get,7584.77469669,1.8270,607,True
rest_get,7584.787227215,1.9407,607,True
rest_get,7585.033700736,3.8724,25522,True
rest_get,7585.046049917,1.8382,25522,True
rest_get,7585.058451762,1.8940,25522,True
rest_get,7585.070947414,1.9177,25522,True
rest_get,7585.083480006,1.8811,25522,True
rest_get,7585.096168004,2.0220,25522,True
rest_get,7585.108596615,1.9275,25522,True
rest_get,7585.121109788,1.9794,25522,True
rest_get,7585.133681526,1.9096,25522,True
rest_get,7585.146204124,1.8536,25522,True
rest_get,7585.15850247,1.8026,25522,True
rest_get,7585.170640719,1.9374,25522,True
rest_get,7585.182895326,1.9569,25522,True
rest_get,7585.195015364,1.8749,25522,True
rest_get,7585.206984194,1.6951,25522,True
rest_get,7585.219265798,1.8618,25522,True
rest_get,7585.231457458,1.9420,25522,True
rest_get,7585.243490648,1.7398,25522,True
rest_get,7585.255694399,1.8923,25522,True
rest_get,7585.267900163,1.9582,25522,True
rest_get,7585.279911532,1.7286,25522,True
rest_get,7585.291971032,1.8022,25522,True
rest_get,7585.304114233,1.9181,25522,True
rest_get,7585.3164715,1.8948,25522,True
rest_get,7585.328579673,1.8169,25522,True
rest_get,7585.340791277,1.9118,25522,True
rest_get,7585.35286782,1.8348,25522,True
rest_get,7585.365138712,1.9245,25522,True
rest_get,7585.377370231,1.9319,25522,True
rest_get,7585.389582325,1.9672,25522,True
rest_get,7585.401678475,1.8172,25522,True
rest_get,7585.413881269,1.8447,25522,True
rest_get,7585.426041595,1.9139,25522,True
rest_get,7585.43851033,2.1976,25522,True
rest_get,7585.4506672,1.8660,25522,True
rest_get,7585.462808475,1.8494,25522,True
rest_get,7585.474862729,1.8099,25522,True
rest_get,7585.48698441,1.7799,25522,True
rest_get,7585.499131044,1.8668,25522,True
rest_get,7585.511294824,1.9290,25522,True
rest_get,7585.523765329,2.1533,25522,True
rest_get,7585.535987158,1.8953,25522,True
rest_get,7585.548604629,2.0274,25522,True
rest_get,7585.560919661,2.0294,25522,True
rest_get,7585.573099381,1.8833,25522,True
rest_get,7585.585351988,1.9541,25522,True
rest_get,7585.597445869,1.8533,25522,True
rest_get,7585.609596993,1.8582,25522,True
rest_get,7585.621753935,1.7950,25522,True
rest_get,7585.634272622,2.2414,25522,True
rest_get,7585.646177799,1.6774,25522,True
rest_get,7585.658335831,1.7578,25522,True
rest_get,7585.670510498,1.9460,25522,True
rest_get,7585.682570803,1.7678,25522,True
rest_get,7585.694686604,1.8317,25522,True
rest_get,7585.706864811,1.8913,25522,True
rest_get,7585.718972357,1.8217,25522,True
rest_get,7585.730950535,1.7513,25522,True
rest_get,7585.743247846,1.9962,25522,True
rest_get,7585.755332022,1.8481,25522,True
rest_get,7585.767373177,1.7666,25522,True
rest_get,7585.779504044,1.8321,25522,True
rest_get,7585.791677914,1.9048,25522,True
rest_get,7585.803692091,1.7170,25522,True
rest_get,7585.815776898,1.7883,25522,True
rest_get,7585.828062595,2.0096,25522,True
rest_get,7585.840110802,1.7582,25522,True
rest_get,7585.852268627,1.8649,25522,True
rest_get,7585.864524884,1.9924,25522,True
rest_get,7585.87656735,1.7813,25522,True
rest_get,7585.888761079,1.7726,25522,True
rest_get,7585.900926854,1.9168,25522,True
rest_get,7585.912960018,1.7410,25522,True
rest_get,7585.925074457,1.8303,25522,True
rest_get,7585.937272797,1.9033,25522,True
rest_get,7585.949244201,1.7283,25522,True
rest_get,7585.961435837,1.8932,25522,True
rest_get,7585.973676095,1.8640,25522,True
rest_get,7585.986185803,2.2582,25522,True
rest_get,7585.998282988,1.8731,25522,True
rest_get,7586.010255918,1.7333,25522,True
rest_get,7586.02264999,2.1420,25522,True
rest_get,7586.034628475,1.7383,25522,True
rest_get,7586.046743344,1.8075,25522,True
rest_get,7586.05908989,2.0793,25522,True
rest_get,7586.071277807,1.8857,25522,True
rest_get,7586.083521666,1.9787,25522,True
rest_get,7586.095736538,1.9711,25522,True
rest_get,7586.107996512,2.0054,25522,True
rest_get,7586.120275072,1.8956,25522,True
rest_get,7586.132621123,1.9694,25522,True
rest_get,7586.144805146,1.9598,25522,True
rest_get,7586.157028305,1.8319,25522,True
rest_get,7586.169347261,1.8781,25522,True
rest_get,7586.181730957,2.0392,25522,True
rest_get,7586.194123187,1.8805,25522,True
rest_get,7586.206311466,1.7730,25522,True
rest_get,7586.218667901,1.9267,25522,True
rest_get,7586.230886329,1.8699,25522,True
rest_get,7586.243105793,1.7529,25522,True
rest_post,7586.365217437,2.2382,64,False
rest_post,7586.377277858,1.5515,64,False
rest_post,7586.389131115,1.6090,64,False
rest_post,7586.400812697,1.3607,64,False
rest_post,7586.412743072,1.5094,64,False
rest_post,7586.424807064,1.6759,64,False
rest_post,7586.436765253,1.4853,64,False
rest_post,7586.448672764,1.5714,64,False
rest_post,7586.460783128,1.7033,64,False
rest_post,7586.473198599,2.0057,64,False
rest_post,7586.485116439,1.5036,64,False
rest_post,7586.497359671,1.8449,64,False
rest_post,7586.509392892,1.7298,64,False
rest_post,7586.521264833,1.5304,64,False
rest_post,7586.533083455,1.5666,64,False
rest_post,7586.545038015,1.5192,64,False
rest_post,7586.556892149,1.5068,64,False
rest_post,7586.568740963,1.6210,64,False
rest_post,7586.580732924,1.7182,64,False
rest_post,7586.592650758,1.5380,64,False
rest_post,7586.604596111,1.5866,64,False
rest_post,7586.616429873,1.5254,64,False
rest_post,7586.628376603,1.5682,64,False
rest_post,7586.640513457,1.6674,64,False
rest_post,7586.652314533,1.4923,64,False
rest_post,7586.664224992,1.5258,64,False
rest_post,7586.676315509,1.7020,64,False
rest_post,7586.688128374,1.4173,64,False
rest_post,7586.699926947,1.5406,64,False
rest_post,7586.711578322,1.4677,64,False
rest_post,7586.723440273,1.4803,64,False
rest_post,7586.735309843,1.5865,64,False
rest_post,7586.746968175,1.4242,64,False
rest_post,7586.758665114,1.4566,64,False
rest_post,7586.770670656,1.7165,64,False
rest_post,7586.78254544,1.6932,64,False
rest_post,7586.794443609,1.4978,64,False
rest_post,7586.806600652,1.8727,64,False
rest_post,7586.818853709,1.7691,64,False
rest_post,7586.830828884,1.5896,64,False
rest_post,7586.84270954,1.6080,64,False
rest_post,7586.854632642,1.5304,64,False
rest_post,7586.866438906,1.4569,64,False
rest_post,7586.878336231,1.5548,64,False
rest_post,7586.890122518,1.4611,64,False
rest_post,7586.901876472,1.4436,64,False
rest_post,7586.914109995,1.9501,64,False
rest_post,7586.925854594,1.4412,64,False
rest_post,7586.937630437,1.4563,64,False
rest_post,7586.949531303,1.6523,64,False
rest_post,7587.070133613,1.3847,256,False
rest_post,7587.082258246,1.7938,256,False
rest_post,7587.094181072,1.6509,256,False
rest_post,7587.105866995,1.3829,256,False
rest_post,7587.117665386,1.4741,256,False
rest_post,7587.129594996,1.6781,256,False
rest_post,7587.141349792,1.4477,256,False
rest_post,7587.153119815,1.5003,256,False
rest_post,7587.164897582,1.5501,256,False
rest_post,7587.176771938,1.5902,256,False
rest_post,7587.188923787,1.8622,256,False
rest_post,7587.200771002,1.5951,256,False
rest_post,7587.212656985,1.6148,256,False
rest_post,7587.224640902,1.5179,256,False
rest_post,7587.23665264,1.5394,256,False
rest_post,7587.248589324,1.5350,256,False
rest_post,7587.260472201,1.6299,256,False
rest_post,7587.272200369,1.4333,256,False
rest_post,7587.284210764,1.5626,256,False
rest_post,7587.2961203,1.6540,256,False
rest_post,7587.308129161,1.7758,256,False
rest_post,7587.319869618,1.4279,256,False
rest_post,7587.331743835,1.6314,256,False
rest_post,7587.34350759,1.4770,256,False
rest_post,7587.355319493,1.5484,256,False
rest_post,7587.367217826,1.6597,256,False
